iter	Accuracy	MultiClass
0	0.7534418023	0.918642173
1	0.7855652899	0.719595612
2	0.8147684606	0.6130823885
3	0.8389653734	0.5304173168
4	0.8535669587	0.4766160299
5	0.8702544848	0.4283796377
6	0.87359199	0.4109264606
7	0.8781810597	0.391671204
8	0.8865248227	0.3641944692
9	0.8931998331	0.3521345465
10	0.8973717146	0.3302148896
11	0.8998748436	0.3149313841
12	0.9044639132	0.306008886
13	0.906549854	0.2972928763
14	0.9090529829	0.2883683072
15	0.9107217355	0.2836739936
16	0.9107217355	0.2739873768
17	0.9128076763	0.2695591116
18	0.9123904881	0.263477589
19	0.914893617	0.2578570162
20	0.9161451815	0.2513007506
21	0.920317063	0.2463880564
22	0.9211514393	0.2426621724
23	0.9224030038	0.2382308724
24	0.9244889445	0.2306823742
25	0.9294952023	0.2257376094
26	0.9290780142	0.2225974998
27	0.9315811431	0.2187486538
28	0.9328327076	0.2157031538
29	0.9336670839	0.2125664248
30	0.934084272	0.2107637594
31	0.9370045891	0.2061604677
32	0.9386733417	0.2017307334
33	0.9415936587	0.1987979517
34	0.9420108469	0.1947610463
35	0.942428035	0.1918592152
36	0.942428035	0.1893756394
37	0.9457655403	0.1844070055
38	0.9474342929	0.180344012
39	0.9486858573	0.1780365223
40	0.9503546099	0.1759358205
41	0.9507717981	0.1725409978
42	0.9528577388	0.1712511993
43	0.9536921151	0.1693293296
44	0.9557780559	0.1657833919
45	0.9561952441	0.1650488135
46	0.9574468085	0.1624633758
47	0.9582811848	0.1604153394
48	0.9578639967	0.1591157558
49	0.9582811848	0.157460223
50	0.9595327493	0.152895648
51	0.9632874426	0.1489511194
52	0.9641218189	0.147080311
53	0.9653733834	0.143177149
54	0.9678765123	0.1410033122
55	0.9678765123	0.1397884249
56	0.9682937005	0.1384546851
57	0.9691280768	0.1355597224
58	0.9691280768	0.1321267606
59	0.9716312057	0.129769466
60	0.9716312057	0.1291347266
61	0.9720483938	0.1279957811
62	0.9712140175	0.1261123066
63	0.9741343346	0.1244925838
64	0.9741343346	0.1234310496
65	0.975385899	0.1216303554
66	0.9758030872	0.1204896029
67	0.9774718398	0.1177020699
68	0.9770546516	0.1161114303
69	0.9787234043	0.1143340942
70	0.9795577806	0.1131264467
71	0.9803921569	0.112132506
72	0.9803921569	0.1106957413
73	0.9799749687	0.1100652544
74	0.9816437213	0.1075532562
75	0.9828952858	0.1059038019
76	0.9828952858	0.1042109486
77	0.9837296621	0.102858118
78	0.9837296621	0.1021383493
79	0.9837296621	0.1010537881
80	0.9845640384	0.09984459813
81	0.9849812265	0.09925913096
82	0.9845640384	0.09818714395
83	0.9849812265	0.09656205199
84	0.9849812265	0.09480298067
85	0.9853984147	0.0943900672
86	0.9858156028	0.09281469612
87	0.9853984147	0.09223286724
88	0.9858156028	0.09140283986
89	0.986232791	0.09042028453
90	0.986232791	0.08893166231
91	0.9870671673	0.0878509345
92	0.9870671673	0.08639342249
93	0.9870671673	0.08590783013
94	0.9870671673	0.08546164033
95	0.9870671673	0.08480177643
96	0.9874843554	0.08407863798
97	0.9874843554	0.08322616852
98	0.9879015436	0.08174887062
99	0.9883187317	0.08100068289
