iter	Passed	Remaining
0	28	2815
1	32	1574
2	35	1149
3	39	938
4	42	801
5	45	711
6	48	648
7	52	602
8	56	566
9	60	540
10	63	515
11	66	490
12	70	473
13	74	455
14	77	440
15	80	424
16	84	412
17	87	398
18	90	387
19	94	377
20	97	368
21	101	360
22	105	351
23	108	343
24	111	334
25	115	327
26	118	320
27	122	314
28	125	307
29	128	300
30	132	293
31	135	288
32	139	282
33	143	277
34	146	272
35	149	266
36	153	261
37	156	255
38	160	251
39	164	246
40	168	242
41	171	237
42	175	232
43	178	227
44	182	223
45	185	217
46	188	213
47	192	208
48	195	203
49	198	198
50	202	194
51	206	190
52	210	186
53	213	181
54	216	177
55	220	172
56	223	168
57	227	164
58	230	160
59	233	155
60	237	151
61	240	147
62	244	143
63	247	139
64	251	135
65	254	131
66	258	127
67	261	123
68	265	119
69	269	115
70	272	111
71	275	107
72	278	103
73	282	99
74	285	95
75	289	91
76	292	87
77	295	83
78	299	79
79	303	75
80	307	72
81	310	68
82	313	64
83	317	60
84	321	56
85	324	52
86	328	49
87	331	45
88	335	41
89	338	37
90	342	33
91	346	30
92	350	26
93	353	22
94	356	18
95	360	15
96	363	11
97	368	7
98	371	3
99	374	0
